<<<<<<< HEAD
,user_id,item_id,cat_id,merchant_id,brand_id,time_stamp,action_type,label,unique_categories,unique_merchants,unique_brands,click_to_purchase_ratio,age_range,gender,unique_users,add_to_cart_to_purchase_ratio,add_to_favorites_to_purchase_ratio,interaction_count,average_time_between_interactions,clicks,add_to_cart,purchases,add_to_favorites,days_since_last_interaction,days_since_first_interaction,day_of_week,0,1,2,3,age_range_to_gender_interaction_count,ltv,previous_purchase_count,time_since_last_purchase,average_order_value,average_days_between_purchases,promo_engagement,cat_affinity,pages_viewed
180,5979,395,1256,548,8123.0,1011,0,0,1,1,1,0.0,4.0,0.0,4,0.0,0.0,5,7.25,5,0,0,0,2,31,6,2,0,0,0,5,0,15,98,0.0,7.0,0,0,75
184,5979,395,1256,548,8123.0,1014,0,0,1,1,1,0.0,4.0,0.0,4,0.0,0.0,5,7.25,5,0,0,0,2,31,3,2,0,0,0,5,0,15,98,0.0,7.0,0,0,75
185,5979,395,1256,548,8123.0,1014,0,0,1,1,1,0.0,4.0,0.0,4,0.0,0.0,5,7.25,5,0,0,0,2,31,4,1,0,0,0,5,0,15,98,0.0,7.0,0,0,75
186,5979,395,1256,548,8123.0,1014,0,0,1,1,1,0.0,4.0,0.0,4,0.0,0.0,5,7.25,5,0,0,0,2,31,6,2,0,0,0,5,0,15,98,0.0,7.0,0,0,75
190,5979,395,1256,548,8123.0,1109,0,0,1,1,1,0.0,4.0,0.0,4,0.0,0.0,5,7.25,5,0,0,0,2,31,3,2,0,0,0,5,0,15,98,0.0,7.0,0,0,75
191,5979,395,1256,548,8123.0,1109,0,0,1,1,1,0.0,4.0,0.0,4,0.0,0.0,5,7.25,5,0,0,0,2,31,4,1,0,0,0,5,0,15,98,0.0,7.0,0,0,75
192,5979,395,1256,548,8123.0,1109,0,0,1,1,1,0.0,4.0,0.0,4,0.0,0.0,5,7.25,5,0,0,0,2,31,6,2,0,0,0,5,0,15,98,0.0,7.0,0,0,75
193,82406,368,1611,1816,2044.0,1108,0,0,1,1,1,0.0,4.0,0.0,295,18.0,0.972972972972973,1,0.0,1,0,0,0,3,3,3,1,0,0,0,1,0,1,0,0.0,0.0,0,0,1
194,169395,424,662,3432,5093.0,1111,0,1,1,1,1,0.0,6.0,0.0,254,0.0,1.08,2,0.0,2,0,0,0,0,0,6,2,0,0,0,2,0,2,0,0.0,0.0,0,0,4
196,210936,368,1611,1816,2044.0,1111,0,0,1,1,1,0.0,3.0,0.0,295,18.0,0.972972972972973,1,0.0,1,0,0,0,0,0,6,1,0,0,0,1,0,1,0,0.0,0.0,0,0,1
197,378147,424,662,3432,5093.0,1104,0,1,1,1,1,0.5,7.0,0.0,254,0.0,1.08,3,3.5,2,0,1,0,0,7,6,2,0,1,0,3,3,3,7,1.0,3.5,1,3,6
198,378147,424,662,3432,5093.0,1111,0,1,1,1,1,0.5,7.0,0.0,254,0.0,1.08,3,3.5,2,0,1,0,0,7,6,2,0,1,0,3,3,3,7,1.0,3.5,1,3,6
199,378147,424,662,3432,5093.0,1111,2,1,1,1,1,0.5,7.0,0.0,254,0.0,1.08,3,3.5,2,0,1,0,0,7,6,2,0,1,0,3,3,3,7,1.0,3.5,1,3,6
200,297250,368,1611,1816,2044.0,1108,0,1,1,1,1,0.0,4.0,1.0,295,18.0,0.972972972972973,1,0.0,1,0,0,0,3,3,3,1,0,0,0,1,0,1,0,0.0,0.0,0,0,1
201,235553,424,662,3432,5093.0,1111,2,0,1,1,1,0.5,2.0,0.0,254,0.0,1.08,3,0.0,2,0,1,0,0,0,6,2,0,1,0,3,3,3,0,1.0,0.0,1,3,6
202,235553,424,662,3432,5093.0,1111,0,0,1,1,1,0.5,2.0,0.0,254,0.0,1.08,3,0.0,2,0,1,0,0,0,6,2,0,1,0,3,3,3,0,1.0,0.0,1,3,6
204,400798,368,1611,1816,2044.0,1029,0,0,1,1,1,1.0,0.0,1.0,295,18.0,0.972972972972973,2,13.0,1,0,1,0,0,13,0,1,0,0,0,2,4,4,82,1.0,27.333333333333332,2,4,4
205,400798,368,1611,1816,2044.0,1029,0,0,1,1,1,1.0,0.0,1.0,295,18.0,0.972972972972973,2,13.0,1,0,1,0,0,13,6,0,0,1,0,2,4,4,82,1.0,27.333333333333332,2,4,4
206,400798,368,1611,1816,2044.0,1111,2,0,1,1,1,1.0,0.0,1.0,295,18.0,0.972972972972973,2,13.0,1,0,1,0,0,13,0,1,0,0,0,2,4,4,82,1.0,27.333333333333332,2,4,4
207,400798,368,1611,1816,2044.0,1111,2,0,1,1,1,1.0,0.0,1.0,295,18.0,0.972972972972973,2,13.0,1,0,1,0,0,13,6,0,0,1,0,2,4,4,82,1.0,27.333333333333332,2,4,4
208,211353,388,384,3448,1292.0,1111,0,0,1,1,1,0.0,6.0,0.0,6,0.0,0.0,1,0.0,1,0,0,0,0,0,6,1,0,0,0,1,0,1,0,0.0,0.0,0,0,1
209,59143,373,420,121,2337.0,1106,0,0,1,1,1,0.0,5.0,0.0,9,0.0,0.0,2,0.0,1,0,0,1,5,5,1,1,0,0,1,2,0,2,0,0.0,0.0,0,0,2
210,59143,373,420,121,2337.0,1106,3,0,1,1,1,0.0,5.0,0.0,9,0.0,0.0,2,0.0,1,0,0,1,5,5,1,1,0,0,1,2,0,2,0,0.0,0.0,0,0,2
211,72089,368,1611,1816,2044.0,1111,0,0,1,1,1,0.0,0.0,1.0,295,18.0,0.972972972972973,1,0.0,1,0,0,0,0,0,6,1,0,0,0,1,0,1,0,0.0,0.0,0,0,1
212,418480,467,151,1056,1439.0,1111,0,0,1,1,1,0.0,0.0,0.0,260,30.0,3.0,1,0.0,1,0,0,0,0,0,6,1,0,0,0,1,0,1,0,0.0,0.0,0,0,1
213,100410,467,151,1056,1439.0,1111,0,0,1,1,1,0.5,4.0,0.0,260,30.0,3.0,3,0.0,2,0,1,0,0,0,6,2,0,1,0,3,3,3,0,1.0,0.0,1,3,6
214,100410,467,151,1056,1439.0,1111,2,0,1,1,1,0.5,4.0,0.0,260,30.0,3.0,3,0.0,2,0,1,0,0,0,6,2,0,1,0,3,3,3,0,1.0,0.0,1,3,6
216,392983,368,1611,1816,2044.0,1102,0,0,1,1,1,0.25,3.0,1.0,295,18.0,0.972972972972973,6,1.8,4,0,1,1,0,9,4,3,0,0,1,6,12,12,9,1.0,0.8181818181818182,2,12,48
217,392983,368,1611,1816,2044.0,1102,0,0,1,1,1,0.25,3.0,1.0,295,18.0,0.972972972972973,6,1.8,4,0,1,1,0,9,6,1,0,1,0,6,12,12,9,1.0,0.8181818181818182,2,12,48
218,392983,368,1611,1816,2044.0,1102,3,0,1,1,1,0.25,3.0,1.0,295,18.0,0.972972972972973,6,1.8,4,0,1,1,0,9,4,3,0,0,1,6,12,12,9,1.0,0.8181818181818182,2,12,48
219,392983,368,1611,1816,2044.0,1102,3,0,1,1,1,0.25,3.0,1.0,295,18.0,0.972972972972973,6,1.8,4,0,1,1,0,9,6,1,0,1,0,6,12,12,9,1.0,0.8181818181818182,2,12,48
222,392983,368,1611,1816,2044.0,1109,0,0,1,1,1,0.25,3.0,1.0,295,18.0,0.972972972972973,6,1.8,4,0,1,1,0,9,4,3,0,0,1,6,12,12,9,1.0,0.8181818181818182,2,12,48
223,392983,368,1611,1816,2044.0,1109,0,0,1,1,1,0.25,3.0,1.0,295,18.0,0.972972972972973,6,1.8,4,0,1,1,0,9,6,1,0,1,0,6,12,12,9,1.0,0.8181818181818182,2,12,48
224,392983,368,1611,1816,2044.0,1111,2,0,1,1,1,0.25,3.0,1.0,295,18.0,0.972972972972973,6,1.8,4,0,1,1,0,9,4,3,0,0,1,6,12,12,9,1.0,0.8181818181818182,2,12,48
225,392983,368,1611,1816,2044.0,1111,2,0,1,1,1,0.25,3.0,1.0,295,18.0,0.972972972972973,6,1.8,4,0,1,1,0,9,6,1,0,1,0,6,12,12,9,1.0,0.8181818181818182,2,12,48
226,392983,368,1611,1816,2044.0,1111,0,0,1,1,1,0.25,3.0,1.0,295,18.0,0.972972972972973,6,1.8,4,0,1,1,0,9,4,3,0,0,1,6,12,12,9,1.0,0.8181818181818182,2,12,48
227,392983,368,1611,1816,2044.0,1111,0,0,1,1,1,0.25,3.0,1.0,295,18.0,0.972972972972973,6,1.8,4,0,1,1,0,9,6,1,0,1,0,6,12,12,9,1.0,0.8181818181818182,2,12,48
228,210283,477,420,1784,7936.0,1111,0,0,1,1,1,0.0,4.0,0.0,57,0.0,1.4,1,0.0,1,0,0,0,0,0,6,1,0,0,0,1,0,1,0,0.0,0.0,0,0,1
229,178026,424,662,3432,5093.0,1111,0,1,1,1,1,0.0,0.0,0.0,254,0.0,1.08,1,0.0,1,0,0,0,0,0,6,1,0,0,0,1,0,1,0,0.0,0.0,0,0,1
230,292411,428,946,1963,6109.0,1102,0,0,1,1,1,0.0,3.0,1.0,57,0.0,0.0,1,0.0,1,0,0,0,9,9,4,1,0,0,0,1,0,1,0,0.0,0.0,0,0,1
231,72005,467,151,1056,1439.0,1111,0,0,1,1,1,1.0,4.0,0.0,260,30.0,3.0,2,0.0,1,0,1,0,0,0,6,1,0,1,0,2,2,2,0,1.0,0.0,1,2,2
232,72005,467,151,1056,1439.0,1111,2,0,1,1,1,1.0,4.0,0.0,260,30.0,3.0,2,0.0,1,0,1,0,0,0,6,1,0,1,0,2,2,2,0,1.0,0.0,1,2,2
233,254836,477,420,1784,7936.0,1111,0,0,1,1,1,0.5,0.0,0.0,57,0.0,1.4,3,0.0,2,0,1,0,0,0,6,2,0,1,0,3,3,3,0,1.0,0.0,1,3,6
234,254836,477,420,1784,7936.0,1111,2,0,1,1,1,0.5,0.0,0.0,57,0.0,1.4,3,0.0,2,0,1,0,0,0,6,2,0,1,0,3,3,3,0,1.0,0.0,1,3,6
236,15497,345,469,3085,2153.0,1111,0,0,1,1,1,0.0,4.0,0.0,20,0.0,0.0,1,0.0,1,0,0,0,0,0,6,1,0,0,0,1,0,1,0,0.0,0.0,0,0,1
237,211826,345,469,3085,2153.0,1102,0,0,1,1,1,1.0,0.0,0.0,20,0.0,0.0,2,9.0,1,0,1,0,0,9,4,1,0,0,0,2,4,4,9,1.0,3.0,2,4,4
238,211826,345,469,3085,2153.0,1102,0,0,1,1,1,1.0,0.0,0.0,20,0.0,0.0,2,9.0,1,0,1,0,0,9,6,0,0,1,0,2,4,4,9,1.0,3.0,2,4,4
239,211826,345,469,3085,2153.0,1111,2,0,1,1,1,1.0,0.0,0.0,20,0.0,0.0,2,9.0,1,0,1,0,0,9,4,1,0,0,0,2,4,4,9,1.0,3.0,2,4,4
240,211826,345,469,3085,2153.0,1111,2,0,1,1,1,1.0,0.0,0.0,20,0.0,0.0,2,9.0,1,0,1,0,0,9,6,0,0,1,0,2,4,4,9,1.0,3.0,2,4,4
241,185079,467,151,1056,1439.0,1111,0,0,1,1,1,0.0,0.0,0.0,260,30.0,3.0,2,0.0,2,0,0,0,0,0,6,2,0,0,0,2,0,2,0,0.0,0.0,0,0,4
243,231579,388,384,3448,1292.0,1029,0,0,1,1,1,0.0,3.0,0.0,6,0.0,0.0,1,0.0,1,0,0,0,13,13,0,1,0,0,0,1,0,1,0,0.0,0.0,0,0,1
244,47056,368,1611,1816,2044.0,1109,3,0,1,1,1,0.0,4.0,0.0,295,18.0,0.972972972972973,1,0.0,0,0,0,1,2,2,4,0,0,0,1,1,0,1,0,0.0,0.0,0,0,0
245,199133,368,1611,1816,2044.0,1110,0,0,1,1,1,0.0,3.0,1.0,295,18.0,0.972972972972973,1,0.0,1,0,0,0,1,1,5,1,0,0,0,1,0,1,0,0.0,0.0,0,0,1
246,220514,467,151,1056,1439.0,1109,0,0,1,1,1,0.0,4.0,0.0,260,30.0,3.0,1,0.0,1,0,0,0,2,2,4,1,0,0,0,1,0,1,0,0.0,0.0,0,0,1
247,399929,467,151,1056,1439.0,1111,0,0,1,1,1,0.0,3.0,0.0,260,30.0,3.0,1,0.0,1,0,0,0,0,0,6,1,0,0,0,1,0,1,0,0.0,0.0,0,0,1
248,383421,419,1290,4034,7626.0,1111,0,0,1,1,1,0.0,3.0,0.0,5,0.0,0.0,1,0.0,1,0,0,0,0,0,6,1,0,0,0,1,0,1,0,0.0,0.0,0,0,1
249,72254,441,407,2634,6437.0,824,0,1,1,1,1,0.0,6.0,0.0,11,0.0,1.0,1,0.0,1,0,0,0,79,79,4,1,0,0,0,1,0,1,0,0.0,0.0,0,0,1
250,303592,408,1388,4659,7628.0,1111,0,0,1,1,1,0.0,4.0,0.0,13,0.0,0.0,1,0.0,1,0,0,0,0,0,6,1,0,0,0,1,0,1,0,0.0,0.0,0,0,1
251,250680,428,946,1963,6109.0,1106,0,0,1,1,1,0.0,0.0,1.0,57,0.0,0.0,1,0.0,1,0,0,0,5,5,1,1,0,0,0,1,0,1,0,0.0,0.0,0,0,1
252,167207,467,151,1056,1439.0,1110,0,0,1,1,1,0.0,3.0,1.0,260,30.0,3.0,1,0.0,1,0,0,0,1,1,5,1,0,0,0,1,0,1,0,0.0,0.0,0,0,1
253,344692,371,664,962,5052.0,1111,0,1,1,1,1,0.0,0.0,0.0,20,3.0,3.0,1,0.0,1,0,0,0,0,0,6,1,0,0,0,1,0,1,0,0.0,0.0,0,0,1
254,362394,368,1611,1816,2044.0,1111,0,0,1,1,1,0.0,3.0,1.0,295,18.0,0.972972972972973,4,0.6666666666666666,3,0,0,1,0,2,4,2,0,0,1,4,0,8,2,0.0,-0.2857142857142857,0,0,24
255,362394,368,1611,1816,2044.0,1111,0,0,1,1,1,0.0,3.0,1.0,295,18.0,0.972972972972973,4,0.6666666666666666,3,0,0,1,0,2,6,1,0,0,0,4,0,8,2,0.0,-0.2857142857142857,0,0,24
256,362394,368,1611,1816,2044.0,1109,0,0,1,1,1,0.0,3.0,1.0,295,18.0,0.972972972972973,4,0.6666666666666666,3,0,0,1,0,2,4,2,0,0,1,4,0,8,2,0.0,-0.2857142857142857,0,0,24
257,362394,368,1611,1816,2044.0,1109,0,0,1,1,1,0.0,3.0,1.0,295,18.0,0.972972972972973,4,0.6666666666666666,3,0,0,1,0,2,6,1,0,0,0,4,0,8,2,0.0,-0.2857142857142857,0,0,24
258,362394,368,1611,1816,2044.0,1109,3,0,1,1,1,0.0,3.0,1.0,295,18.0,0.972972972972973,4,0.6666666666666666,3,0,0,1,0,2,4,2,0,0,1,4,0,8,2,0.0,-0.2857142857142857,0,0,24
259,362394,368,1611,1816,2044.0,1109,3,0,1,1,1,0.0,3.0,1.0,295,18.0,0.972972972972973,4,0.6666666666666666,3,0,0,1,0,2,6,1,0,0,0,4,0,8,2,0.0,-0.2857142857142857,0,0,24
262,59495,467,151,1056,1439.0,1111,3,0,1,1,1,0.0,3.0,0.0,260,30.0,3.0,1,0.0,0,0,0,1,0,0,6,0,0,0,1,1,0,1,0,0.0,0.0,0,0,0
263,340061,368,1611,1816,2044.0,1110,0,0,1,1,1,0.0,2.0,1.0,295,18.0,0.972972972972973,1,0.0,1,0,0,0,1,1,5,1,0,0,0,1,0,1,0,0.0,0.0,0,0,1
264,358813,467,151,1056,1439.0,1111,2,0,1,1,1,0.5,4.0,1.0,260,30.0,3.0,3,0.0,2,0,1,0,0,0,6,2,0,1,0,3,3,3,0,1.0,0.0,1,3,6
265,358813,467,151,1056,1439.0,1111,0,0,1,1,1,0.5,4.0,1.0,260,30.0,3.0,3,0.0,2,0,1,0,0,0,6,2,0,1,0,3,3,3,0,1.0,0.0,1,3,6
267,124245,467,151,1056,1439.0,1111,0,0,1,1,1,0.0,3.0,0.0,260,30.0,3.0,1,0.0,1,0,0,0,0,0,6,1,0,0,0,1,0,1,0,0.0,0.0,0,0,1
268,357284,467,151,1056,1439.0,1111,0,0,1,1,1,0.0,0.0,0.0,260,30.0,3.0,1,0.0,1,0,0,0,0,0,6,1,0,0,0,1,0,1,0,0.0,0.0,0,0,1
269,144810,471,1266,4614,4331.0,1105,0,0,1,1,1,0.5,6.0,0.0,11,0.0,0.0,3,3.0,2,0,1,0,0,6,0,1,0,0,0,3,6,6,6,1.0,1.2,2,6,12
270,144810,471,1266,4614,4331.0,1105,0,0,1,1,1,0.5,6.0,0.0,11,0.0,0.0,3,3.0,2,0,1,0,0,6,6,1,0,1,0,3,6,6,6,1.0,1.2,2,6,12
271,144810,471,1266,4614,4331.0,1111,2,0,1,1,1,0.5,6.0,0.0,11,0.0,0.0,3,3.0,2,0,1,0,0,6,0,1,0,0,0,3,6,6,6,1.0,1.2,2,6,12
272,144810,471,1266,4614,4331.0,1111,2,0,1,1,1,0.5,6.0,0.0,11,0.0,0.0,3,3.0,2,0,1,0,0,6,6,1,0,1,0,3,6,6,6,1.0,1.2,2,6,12
273,144810,471,1266,4614,4331.0,1111,0,0,1,1,1,0.5,6.0,0.0,11,0.0,0.0,3,3.0,2,0,1,0,0,6,0,1,0,0,0,3,6,6,6,1.0,1.2,2,6,12
274,144810,471,1266,4614,4331.0,1111,0,0,1,1,1,0.5,6.0,0.0,11,0.0,0.0,3,3.0,2,0,1,0,0,6,6,1,0,1,0,3,6,6,6,1.0,1.2,2,6,12
275,157208,368,1611,1816,2044.0,1111,0,1,1,1,1,0.0,3.0,1.0,295,18.0,0.972972972972973,2,0.0,2,0,0,0,0,0,6,2,0,0,0,2,0,2,0,0.0,0.0,0,0,4
277,323636,368,1611,1816,2044.0,1110,0,0,1,1,1,0.0,3.0,0.0,295,18.0,0.972972972972973,1,0.0,1,0,0,0,1,1,5,1,0,0,0,1,0,1,0,0.0,0.0,0,0,1
278,104707,424,662,3432,5093.0,1111,2,0,1,1,1,0.5,3.0,0.0,254,0.0,1.08,4,0.3333333333333333,2,0,1,1,0,1,5,2,0,0,1,4,8,8,1,1.0,-0.14285714285714285,2,8,16
279,104707,424,662,3432,5093.0,1111,2,0,1,1,1,0.5,3.0,0.0,254,0.0,1.08,4,0.3333333333333333,2,0,1,1,0,1,6,0,0,1,0,4,8,8,1,1.0,-0.14285714285714285,2,8,16
280,104707,424,662,3432,5093.0,1110,0,0,1,1,1,0.5,3.0,0.0,254,0.0,1.08,4,0.3333333333333333,2,0,1,1,0,1,5,2,0,0,1,4,8,8,1,1.0,-0.14285714285714285,2,8,16
281,104707,424,662,3432,5093.0,1110,0,0,1,1,1,0.5,3.0,0.0,254,0.0,1.08,4,0.3333333333333333,2,0,1,1,0,1,6,0,0,1,0,4,8,8,1,1.0,-0.14285714285714285,2,8,16
284,104707,424,662,3432,5093.0,1110,3,0,1,1,1,0.5,3.0,0.0,254,0.0,1.08,4,0.3333333333333333,2,0,1,1,0,1,5,2,0,0,1,4,8,8,1,1.0,-0.14285714285714285,2,8,16
285,104707,424,662,3432,5093.0,1110,3,0,1,1,1,0.5,3.0,0.0,254,0.0,1.08,4,0.3333333333333333,2,0,1,1,0,1,6,0,0,1,0,4,8,8,1,1.0,-0.14285714285714285,2,8,16
286,102971,467,151,1056,1439.0,1111,0,0,1,1,1,0.0,4.0,0.0,260,30.0,3.0,2,0.0,2,0,0,0,0,0,6,2,0,0,0,2,0,2,0,0.0,0.0,0,0,4
288,160095,376,184,4834,4471.0,1111,0,1,1,1,1,0.0,5.0,1.0,46,0.0,0.0,1,0.0,1,0,0,0,0,0,6,1,0,0,0,1,0,1,0,0.0,0.0,0,0,1
289,269790,408,1388,4659,7628.0,1028,0,0,1,1,1,0.0,2.0,0.0,13,0.0,0.0,1,0.0,1,0,0,0,14,14,6,1,0,0,0,1,0,1,0,0.0,0.0,0,0,1
290,390014,368,1611,1816,2044.0,1110,0,0,1,1,1,0.5,2.0,1.0,295,18.0,0.972972972972973,3,0.5,2,0,1,0,0,1,5,2,0,0,0,3,6,6,1,1.0,0.2,2,6,12
291,390014,368,1611,1816,2044.0,1110,0,0,1,1,1,0.5,2.0,1.0,295,18.0,0.972972972972973,3,0.5,2,0,1,0,0,1,6,0,0,1,0,3,6,6,1,1.0,0.2,2,6,12
294,390014,368,1611,1816,2044.0,1111,2,0,1,1,1,0.5,2.0,1.0,295,18.0,0.972972972972973,3,0.5,2,0,1,0,0,1,5,2,0,0,0,3,6,6,1,1.0,0.2,2,6,12
295,390014,368,1611,1816,2044.0,1111,2,0,1,1,1,0.5,2.0,1.0,295,18.0,0.972972972972973,3,0.5,2,0,1,0,0,1,6,0,0,1,0,3,6,6,1,1.0,0.2,2,6,12
296,407042,467,151,1056,1439.0,1111,0,0,1,1,1,0.0,3.0,2.0,260,30.0,3.0,1,0.0,1,0,0,0,0,0,6,1,0,0,0,1,0,1,0,0.0,0.0,0,0,1
297,394290,424,662,3432,5093.0,1106,3,0,1,1,1,0.0,3.0,0.0,254,0.0,1.08,3,2.5,0,0,1,2,0,5,1,0,0,0,1,3,9,9,5,1.0,0.125,3,9,0
298,394290,424,662,3432,5093.0,1106,3,0,1,1,1,0.0,3.0,0.0,254,0.0,1.08,3,2.5,0,0,1,2,0,5,2,0,0,0,1,3,9,9,5,1.0,0.125,3,9,0
299,394290,424,662,3432,5093.0,1106,3,0,1,1,1,0.0,3.0,0.0,254,0.0,1.08,3,2.5,0,0,1,2,0,5,6,0,0,1,0,3,9,9,5,1.0,0.125,3,9,0
300,394290,424,662,3432,5093.0,1111,2,0,1,1,1,0.0,3.0,0.0,254,0.0,1.08,3,2.5,0,0,1,2,0,5,1,0,0,0,1,3,9,9,5,1.0,0.125,3,9,0
301,394290,424,662,3432,5093.0,1111,2,0,1,1,1,0.0,3.0,0.0,254,0.0,1.08,3,2.5,0,0,1,2,0,5,2,0,0,0,1,3,9,9,5,1.0,0.125,3,9,0
302,394290,424,662,3432,5093.0,1111,2,0,1,1,1,0.0,3.0,0.0,254,0.0,1.08,3,2.5,0,0,1,2,0,5,6,0,0,1,0,3,9,9,5,1.0,0.125,3,9,0
303,394290,424,662,3432,5093.0,1107,3,0,1,1,1,0.0,3.0,0.0,254,0.0,1.08,3,2.5,0,0,1,2,0,5,1,0,0,0,1,3,9,9,5,1.0,0.125,3,9,0
304,394290,424,662,3432,5093.0,1107,3,0,1,1,1,0.0,3.0,0.0,254,0.0,1.08,3,2.5,0,0,1,2,0,5,2,0,0,0,1,3,9,9,5,1.0,0.125,3,9,0
305,394290,424,662,3432,5093.0,1107,3,0,1,1,1,0.0,3.0,0.0,254,0.0,1.08,3,2.5,0,0,1,2,0,5,6,0,0,1,0,3,9,9,5,1.0,0.125,3,9,0
306,401917,467,151,1056,1439.0,1111,0,1,1,1,1,0.0,3.0,1.0,260,30.0,3.0,1,0.0,1,0,0,0,0,0,6,1,0,0,0,1,0,1,0,0.0,0.0,0,0,1
307,38081,467,151,1056,1439.0,1111,0,0,1,1,1,0.0,3.0,1.0,260,30.0,3.0,1,0.0,1,0,0,0,0,0,6,1,0,0,0,1,0,1,0,0.0,0.0,0,0,1
308,415426,467,151,1056,1439.0,1111,0,0,1,1,1,0.0,4.0,0.0,260,30.0,3.0,1,0.0,1,0,0,0,0,0,6,1,0,0,0,1,0,1,0,0.0,0.0,0,0,1
309,26304,368,1611,1816,2044.0,1111,0,0,1,1,1,0.0,4.0,0.0,295,18.0,0.972972972972973,1,0.0,1,0,0,0,0,0,6,1,0,0,0,1,0,1,0,0.0,0.0,0,0,1
310,296758,467,151,1056,1439.0,1110,0,0,1,1,1,0.0,4.0,0.0,260,30.0,3.0,1,0.0,1,0,0,0,1,1,5,1,0,0,0,1,0,1,0,0.0,0.0,0,0,1
311,209339,368,1611,1816,2044.0,1103,0,0,1,1,1,0.0,3.0,0.0,295,18.0,0.972972972972973,1,0.0,1,0,0,0,8,8,5,1,0,0,0,1,0,1,0,0.0,0.0,0,0,1
312,56103,395,1256,548,8123.0,1103,0,0,1,1,1,0.0,0.0,0.0,4,0.0,0.0,1,0.0,1,0,0,0,8,8,5,1,0,0,0,1,0,1,0,0.0,0.0,0,0,1
313,262226,467,151,1056,1439.0,1110,0,0,1,1,1,0.0,4.0,0.0,260,30.0,3.0,1,0.0,1,0,0,0,1,1,5,1,0,0,0,1,0,1,0,0.0,0.0,0,0,1
314,320104,477,420,1784,7936.0,1111,0,0,1,1,1,0.0,4.0,0.0,57,0.0,1.4,1,0.0,1,0,0,0,0,0,6,1,0,0,0,1,0,1,0,0.0,0.0,0,0,1
315,166002,467,151,1056,1439.0,1111,0,0,1,1,1,0.0,3.0,0.0,260,30.0,3.0,3,1.5,3,0,0,0,0,3,3,1,0,0,0,3,0,6,3,0.0,-0.6,0,0,18
316,166002,467,151,1056,1439.0,1111,0,0,1,1,1,0.0,3.0,0.0,260,30.0,3.0,3,1.5,3,0,0,0,0,3,6,2,0,0,0,3,0,6,3,0.0,-0.6,0,0,18
319,166002,467,151,1056,1439.0,1108,0,0,1,1,1,0.0,3.0,0.0,260,30.0,3.0,3,1.5,3,0,0,0,0,3,3,1,0,0,0,3,0,6,3,0.0,-0.6,0,0,18
320,166002,467,151,1056,1439.0,1108,0,0,1,1,1,0.0,3.0,0.0,260,30.0,3.0,3,1.5,3,0,0,0,0,3,6,2,0,0,0,3,0,6,3,0.0,-0.6,0,0,18
321,227549,368,1611,1816,2044.0,1111,0,0,1,1,1,0.5,4.0,0.0,295,18.0,0.972972972972973,3,0.0,2,0,1,0,0,0,6,2,0,1,0,3,3,3,0,1.0,0.0,1,3,6
322,227549,368,1611,1816,2044.0,1111,2,0,1,1,1,0.5,4.0,0.0,295,18.0,0.972972972972973,3,0.0,2,0,1,0,0,0,6,2,0,1,0,3,3,3,0,1.0,0.0,1,3,6
324,28112,424,662,3432,5093.0,1111,0,0,1,1,1,0.5,6.0,0.0,254,0.0,1.08,3,2.0,2,0,1,0,0,4,2,1,0,0,0,3,6,6,4,1.0,-0.8,2,6,12
325,28112,424,662,3432,5093.0,1111,0,0,1,1,1,0.5,6.0,0.0,254,0.0,1.08,3,2.0,2,0,1,0,0,4,6,1,0,1,0,3,6,6,4,1.0,-0.8,2,6,12
326,28112,424,662,3432,5093.0,1111,2,0,1,1,1,0.5,6.0,0.0,254,0.0,1.08,3,2.0,2,0,1,0,0,4,2,1,0,0,0,3,6,6,4,1.0,-0.8,2,6,12
327,28112,424,662,3432,5093.0,1111,2,0,1,1,1,0.5,6.0,0.0,254,0.0,1.08,3,2.0,2,0,1,0,0,4,6,1,0,1,0,3,6,6,4,1.0,-0.8,2,6,12
328,28112,424,662,3432,5093.0,1107,0,0,1,1,1,0.5,6.0,0.0,254,0.0,1.08,3,2.0,2,0,1,0,0,4,2,1,0,0,0,3,6,6,4,1.0,-0.8,2,6,12
329,28112,424,662,3432,5093.0,1107,0,0,1,1,1,0.5,6.0,0.0,254,0.0,1.08,3,2.0,2,0,1,0,0,4,6,1,0,1,0,3,6,6,4,1.0,-0.8,2,6,12
330,254146,467,151,1056,1439.0,1111,0,0,1,1,1,0.0,3.0,0.0,260,30.0,3.0,1,0.0,1,0,0,0,0,0,6,1,0,0,0,1,0,1,0,0.0,0.0,0,0,1
331,331023,334,1208,727,2276.0,1105,0,0,1,1,1,0.0,3.0,0.0,63,0.0,3.3333333333333335,1,0.0,1,0,0,0,6,6,0,1,0,0,0,1,0,1,0,0.0,0.0,0,0,1
332,84047,368,1611,1816,2044.0,1001,0,0,1,1,1,0.0,2.0,0.0,295,18.0,0.972972972972973,1,0.0,1,0,0,0,41,41,0,1,0,0,0,1,0,1,0,0.0,0.0,0,0,1
333,21803,368,1611,1816,2044.0,1109,0,0,1,1,1,0.0,0.0,1.0,295,18.0,0.972972972972973,1,0.0,1,0,0,0,2,2,4,1,0,0,0,1,0,1,0,0.0,0.0,0,0,1
334,111757,371,664,962,5052.0,1111,2,0,1,1,1,1.0,3.0,0.0,20,3.0,3.0,2,0.0,1,0,1,0,0,0,6,1,0,1,0,2,2,2,0,1.0,0.0,1,2,2
